"County","Vegetative Growth","Flowering","Grain Filling & Maturity","Establishment","Germination","Seedling","Physiological Maturity","Seedling stage","Seedling & Establishment","Maize_Vegetative Growth","Maize_Flowering","Maize_Grain Filling & Maturity","Maize_Establishment","Maize_Germination","Maize_Seedling","Maize_Physiological Maturity","Maize_Seeding stage","Maize_Seedling & Establishment","Potatoes_Vegetative Growth","Potatoes_Flowering","Potatoes_Grain Filling & Maturity","Potatoes_Establishment","Potatoes_Germination","Potatoes_Seedling","Potatoes_Physiological Maturity","Potatoes_Seedling stage","Potatoes_Seedling & Establishment","Sorghum_Vegetative Growth","Sorghum_Flowering","Sorghum_Grain Filling & Maturity","Sorghum_Establishment","Sorghum_Germination","Sorghum_Seedling","Sorghum_Physiological Maturity","Sorghum_Seedling stage","Sorghum_Seedling & Establishment","Sunflower_Vegetative Growth","Sunflower_Flowering","Sunflower_Grain Filling & Maturity","Sunflower_Establishment","Sunflower_Germination","Sunflower_Seedling","Sunflower_Physiological Maturity","Sunflower_Seedling stage","Sunflower_Seedling & Establishment","Green gram_Vegetative Growth","Green gram_Flowering","Green gram_Grain Filling & Maturity","Green gram_Establishment","Green gram_Germination","Green gram_Seedling","Green gram_Physiological Maturity","Green gram_Seedling stage","Green gram_Seedling & Establishment","Finger Millet_Vegetative Growth","Finger Millet_Flowering","Finger Millet_Grain Filling & Maturity","Finger Millet_Establishment","Finger Millet_Germination","Finger Millet_Seedling","Finger Millet_Physiological Maturity","Finger Millet_Seedling stage","Finger Millet_Seedling & Establishment","Cowpeas_Vegetative Growth","Cowpeas_Flowering","Cowpeas_Grain Filling & Maturity","Cowpeas_Establishment","Cowpeas_Germination","Cowpeas_Seedling","Cowpeas_Physiological Maturity","Cowpeas_Seedling stage","Cowpeas_Seedling & Establishment","Cowpeas leaves_Vegetative Growth","Cowpeas leaves_Flowering","Cowpeas leaves_Grain Filling & Maturity","Cowpeas leaves_Establishment","Cowpeas leaves_Germination","Cowpeas leaves_Seedling","Cowpeas leaves_Physiological Maturity","Cowpeas leaves_Seedling stage","Cowpeas leaves_Seedling & Establishment","Cassava_Vegetative Growth","Cassava_Flowering","Cassava_Grain Filling & Maturity","Cassava_Establishment","Cassava_Germination","Cassava_Seedling","Cassava_Physiological Maturity","Cassava_Seedling stage","Cassava_Seedling & Establishment","Sweet Sorghum_Vegetative Growth","Sweet Sorghum_Flowering","Sweet Sorghum_Grain Filling & Maturity","Sweet Sorghum_Establishment","Sweet Sorghum_Germination","Sweet Sorghum_Seedling","Sweet Sorghum_Physiological Maturity","Sweet Sorghum_Seedling stage","Sweet Sorghum_Seedling & Establishment"
"BARINGO",1,3601,7428,75,0,0,62793,7474,0,0,3598,7419,75,0,0,62680,7474,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,89,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOMET",0,10618,31069,0,0,0,67430,0,0,0,10597,31069,0,0,0,67383,0,0,0,19,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BUNGOMA",1,77608,50632,15,0,0,2662,103011,0,0,77501,50629,0,0,0,2632,103011,0,1,106,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Busia",0,0,0,0,0,0,125423,0,0,0,0,0,0,0,0,125423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EMBU",27,6094,5422,1,0,0,85651,527,4,0,2758,5057,0,0,0,83147,527,0,0,1717,0,0,0,0,628,0,0,0,2,363,0,0,0,659,0,4,0,0,0,0,0,0,0,0,0,25,1617,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elgeyo/Marakwet",5198,19408,5974,0,0,0,14623,34215,30,0,7402,5674,0,0,0,13593,34215,0,5194,11853,0,0,0,0,264,0,0,0,63,299,0,0,0,766,0,30,0,0,0,0,0,0,0,0,0,4,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GARISSA",0,0,0,0,0,0,5959,0,0,0,0,0,0,0,0,5930,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOMABAY",8,0,263,37,0,0,200202,0,0,0,0,0,0,0,0,199912,0,0,0,0,0,0,0,0,79,0,0,0,0,12,0,0,0,181,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,8,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISIOLO",0,116,16,0,0,0,7406,0,0,0,0,0,0,0,0,7310,0,0,0,116,0,0,0,0,77,0,0,0,0,16,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAKAMEGA",4,8,1542,608,0,0,223276,8696,0,0,7,1541,581,0,0,223201,8696,0,0,1,0,0,0,0,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
